Anime Title,Episodes,Season,Start Date,End Date,Rating,Watched,Genres,Type,Episodes Total
Shaman King 2021,,1,23.12.2025,23.12.2025,11,Yes,"Action, Adventure, Supernatural",Anime,12
Tensei shitara Slime Datta Ken,,1,04.12.2025,04.12.2025,11,Yes,"Action, Comedy, Fantasy",Anime,12
Tensei shitara Slime Datta Ken 2nd Season,,2,11.12.2025,11.12.2025,10,Yes,"Action, Comedy, Fantasy",Anime,12
Tensei shitara Slime Datta Ken 2nd Season Part 2,,2,11.12.2025,11.12.2025,10,Yes,"Action, Comedy, Fantasy",Anime,12
Tensei shitara Slime Datta Ken 3rd Season,,3,20.12.2025,20.12.2025,9,Yes,"Action, Comedy, Fantasy",Anime,12
Tensei shitara Slime Datta Ken 4th Season,,4,,,,No,"Action, Comedy, Fantasy",Anime,N/a
Tensei Shitara Slime Datta Ken: Guren no Kizuna-hen,,N/a,,,,No,"Action, Comedy, Fantasy",OVA,1
Tokyo Revengers,,1,21.12.2025,21.12.2025,11,Yes,"Action, Drama",Anime,12
Vanitas No Carte,,1,31.12.2025,31.12.2025,11,Yes,"Action, Fantasy, Mystery",Anime,12
Vanitas no Karte Part 2,,1,31.12.2025,31.12.2025,11,Yes,"Action, Fantasy, Mystery",Anime,12
Yozakura Quartet,,1,11.12.2025,11.12.2025,4,Yes,"Action, Comedy, Fantasy",Anime,12
